age,d13C org
0.543,-32.47230769
0.543,-24.86857143
0.54,-27.79
0.54,-31.95274194
0.53,-29.70
0.53,-32.51708333
0.52,-31.87586957
0.515,-29.07
0.495,-29.40
0.475,-28.48
0.455,-30.86
0.445,-28.73
0.435,-30.03
0.425,-27.63
0.415,-25.87
0.395,-26.80
0.385,-28.23
0.375,-28.91
0.365,-28.45
0.355,-29.08
0.345,-27.73
0.305,-26.67
0.265,-28.97
0.255,-27.08
0.245,-28.48
0.225,-27.48
0.195,-26.86
0.185,-29.20
0.175,-32.30
0.165,-28.55
0.155,-27.75
0.1432,-29.30
0.1379,-27.70
0.1334,-27.30
0.1282,-26.20
0.1183,-27.50
0.1045,-26.40
0.0937,-26.40
0.0895,-27.00
0.0876,-25.50
0.0848,-24.70
0.0785,-27.30
0.0695,-25.80
0.063,-27.00
0.0579,-26.60
0.0519,-27.60
0.043,-26.80
0.0353,-26.50
0.0311,-27.00
0.0262,-25.20
0.0201,-24.40
0.0138,-23.50
0.0083,-23.70
0.0035,-22.50
0.0009,-21.90
