Reference source,Reference metadata,Location,Group/Formation,Lithology,Metamorphic grade,Age Range (Ga),Age (Ga),"Sample name, or # of samples",TOC(±s),d13C
Hayes 1983,,South Africa,Transvaal Supergroup,carbonate,sub greenschist,,2.2,205-1,0.14±0.05,-18.7
Hayes 1983,,South Africa,Transvaal Supergroup,carbonate,sub greenschist,,2.2,240-1,0.2±0.1,-29
Hayes 1983,,South Africa,Transvaal Supergroup,carbonate,sub greenschist,,2.2,242-1,0.3±0.1,-28.7
Hayes 1983,,South Africa,Transvaal Supergroup,carbonate,sub greenschist,,2.2,296-1,0.8±0.1,-32.8
Hayes 1983,,South Africa,Transvaal Supergroup,carbonate,sub greenschist,,2.2,297-1,0.3±0.1,-30
Hayes 1983,,South Africa,Transvaal Supergroup,carbonate,sub greenschist,,2.2,297-3,0.4±0.1,-33.6
Hayes 1983,,South Africa,Transvaal Supergroup,carbonate,sub greenschist,,2.2,298-1,1.2±0.2,-33.1
Hayes 1983,,South Africa,Transvaal Supergroup,carbonate,sub greenschist,,2.2,298-2,1.3±0.2,-33.8
Hayes 1983,,South Africa,Transvaal Supergroup,carbonate,sub greenschist,,2.2,299-1,1.1±0.2,-34.4
Hayes 1983,,South Africa,Transvaal Supergroup,carbonate,sub greenschist,,2.2,300-1,0.7±0.1,-31.1
Hayes 1983,,South Africa,Transvaal Supergroup,carbonate,sub greenschist,,2.2,302-1,0.7±0.1,-33.1
Hayes 1983,,South Africa,Transvaal Supergroup,carbonate,sub greenschist,,2.2,304-1,1.1±0.2,-32.4
Hayes 1983,,South Africa,Transvaal Supergroup,carbonate,sub greenschist,,2.2,306-1,0.6±0.1,-34.2
Hayes 1983,,South Africa,Transvaal Supergroup,carbonate,sub greenschist,,2.2,307-1,0.9±0.2,-33.5
Hayes 1983,,South Africa,Transvaal Supergroup,carbonate,sub greenschist,,2.2,310-1,0.2±0.1,-13
Hayes 1983,,South Africa,Transvaal Supergroup,carbonate,sub greenschist,,2.2,312-1,0.9±0.2,-14.9
Hayes 1983,,South Africa,Transvaal Supergroup,carbonate,sub greenschist,,2.2,314-1,0.4±0.1,-30.4
Hayes 1983,,South Africa,Transvaal Supergroup,carbonate,sub greenschist,,2.2,314-2,0.8±0.1,-30.9
Hayes 1983,,South Africa,Transvaal Supergroup,carbonate,sub greenschist,,2.2,315-2,0.8±0.1,-31.1
Hayes 1983,,South Africa,Transvaal Supergroup,carbonate,sub greenschist,,2.2,315-3,0.8±0.1,-32.3
Hayes 1983,,South Africa,Transvaal Supergroup,carbonate,sub greenschist,,2.2,316-2,0.9±0.2,-34.4
Hayes 1983,,South Africa,Transvaal Supergroup,carbonate,sub greenschist,,2.2,317-1,1.1±0.2,-34.9
Hayes 1983,,South Africa,Transvaal Supergroup,carbonate,sub greenschist,,2.2,318-1,0.6±0.1,-31.2
Hayes 1983,,South Africa,Transvaal Supergroup,carbonate,sub greenschist,,2.2,320-1,1.8±0.3,-13.8
Hayes 1983,,South Africa ,"Griqualand Group, Transvaal Supergroup",BIF,,,2.2,295-1,0.2±0.1,-24.6
Hayes 1983,,"siltstone, sandstone,  magnetic shaleestern Austrailia",Hamersley Group,carbonate,,,2.5,370-1,0.2±0.1,-29.1
Hayes 1983,,Australia,Hamersley Group,chert,,,2.5,362-1,0.09±0.05,-17.3
Hayes 1983,,Australia,Hamersley Group,chert,,,2.5,363-1,0.08±0.05,-13.6
Hayes 1983,,Australia,Hamersley Group,chert,,,2.5,364-1,0.11±0.05,-16
Hayes 1983,,Australia,Hamersley Group,shale,,,2.5,047-1,32±6,-32.7
Hayes 1983,,Australia,Hamersley Group,shale,greenschist,,2.5,048-1,41±7,-32.1
Hayes 1983,,Australia,Hamersley Group,shale,greenschist,,2.5,048-2,37±7,-32.4
Hayes 1983,,Australia,Hamersley Group,shale,,,2.5,356-1,65±12,-38.5
Hayes 1983,,Australia,Hamersley Group,shale,sub greenschist,,2.5,357-1,2.3±0.4,-34.2
Hayes 1983,,Australia,Hamersley Group,shale,,,2.5,358-1,45±8,-35.5
Hayes 1983,,Australia,Hamersley Group,shale,,,2.5,359-1,18±3,-35.2
Hayes 1983,,Australia,Hamersley Group,shale,,,2.5,360-1,41±8,-29.8
Hayes 1983,,Australia,Hamersley Group,shale,,,2.5,480-1,5.2±0.9,-31.4
Hayes 1983,,Australia,Hamersley Group,shale,,,2.5,481-1,14±3,-31.1
Hayes 1983,,Australia,Hamersley Group,shale,,,2.5,482-1,15±3,-30.9
Hayes 1983,,Australia,Hamersley Group,shale,,,2.5,485-1,14±3,-33.2
Hayes 1983,,Australia,Hamersley Group,shale,,,2.5,486-1,2.0±0.1,-31.1
Hayes 1983,,Australia,Hamersley Group,shale,,,2.5,487-1,1.6±0.3,-30.8
Hayes 1983,,Australia,Hamersley Group,shale,,,2.5,488-1,18±3,-33.2
Hayes 1983,,Australia,Hamersley Group,shale,,,2.5,490-1,0.11±0.05,-21.1
Hayes 1983,,Australia,Hamersley Group,BIF,,,2.5,361-1,0.9±0.3,-18.6
Hayes 1983,,Australia,Hamersley Group,BIF,,,2.5,369-1,0.3±0.1,-37.8
Hayes 1983,,Australia,Hamersley Group,BIF,,,2.5,372-1,0.6±0.1,-39.8
Hayes 1983,,Australia,Hamersley Group,BIF,,,2.5,373-1 ,14±3,-40
Hayes 1983,,Australia,Hamersley Group,BIF,,,2.5,374-1,0.4±0.1,-34.2
Hayes 1983,,Australia,Hamersley Group,BIF,,,2.5,483-1,0.2±0.1,-22.3
Hayes 1983,,Australia,Hamersley Group,BIF,,,2.5,489-1,2.6±0.5,-21.4
Hayes 1983,,Australia,Hamersley Group,BIF,,,2.5,491-1,0.3±0.1,-18
Hayes 1983,,Australia,Hamersley Group,carbonate chert,,,2.5,042-1,0.2±0.1,-9.4
Hayes 1983,,Australia,Hamersley Group,carbonate chert,,,2.5,365-1,0.05 <,-21.7
Hayes 1983,,Australia,Hamersley Group,shale carbonate,,,2.5,366-1,7.3±1.3,-34.2
Hayes 1983,,Australia,Hamersley Group,shale carbonate,,,2.5,367-1,21±4,-32.8
Hayes 1983,,Australia,Hamersley Group,shale carbonate,sub greenschist,,2.5,368-1,2.2±0.4,-43
Hayes 1983,,Australia,Hamersley Group,shale carbonate,,,2.5,371-1,3.6±0.6,-32.1
Hayes 1983,,Australia,Hamersley Group,shale carbonate,,,2.5,387-1,14±3,-36
Hayes 1983,,Australia,Turee Creek Group,carbonate,,,2.5,063-1,0.10±0.05,-28.4
Hayes 1983,,Ontario Wabigoon subprovince,Steeprock Group,carbonate,to greenschist,,2.6,321-1,0.2±0.1,-25
Hayes 1983,,Ontario Wabigoon subprovince,Steeprock Group,carbonate,to greenschist,,2.6,322-1,0.5±0.1,-26.4
Hayes 1983,,Ontario Wabigoon subprovince,Steeprock Group,carbonate,to greenschist,,2.6,324-1,0.6±0.1,-22.1
Hayes 1983,,Ontario Wabigoon subprovince,Steeprock Group,chert,to greenschist,,2.6,323-1,2.3±0.4,-30.7
Hayes 1983,,Ontario Wabigoon subprovince,steeprock Group,chert,to greenschist,,2.6,325-1,0.4±0.1,-26
Hayes 1983,,Ontario Wabigoon subprovince,steeprock Group,shale,to greenschist,,2.6,326-1,1.7±0.3,-26.9
Hayes 1983,,Australia,Ventersdorp Supergroup,carbonate,greenschist,,2.6,281-1,0.4±0.1,-36.3
Hayes 1983,,Australia,Ventersdorp Supergroup,carbonate,greenschist,,2.6,282-1,1.6±0.3,-40.9
Hayes 1983,,Australia,Ventersdorp Supergroup,carbonate,greenschist,,2.6,282-2,2±0.4,-41.6
Hayes 1983,,Australia,Ventersdorp Supergroup,carbonate,greenschist,,2.6,283-1,1.0±0.2,-38.7
Hayes 1983,,Australia,Ventersdorp Supergroup,carbonate,greenschist,,2.6,284-1,0.8±0.1,-36.7
Hayes 1983,,Australia,Ventersdorp Supergroup,carbonate,greenschist,,2.6,285-1,2.4±0.1,-39
Hayes 1983,,Australia,Ventersdorp Supergroup,carbonate,greenschist,,2.6,287-1,0.6±0.2,-31.6
Hayes 1983,,Australia,Ventersdorp Supergroup,carbonate,greenschist,,2.6,288-1,0.2±0.1,-28.4
Hayes 1983,,Australia,Ventersdorp Supergroup,chert,greenschist,,2.6,273-1,0.3±0.1,-34.1
Hayes 1983,,Australia,Ventersdorp Supergroup,chert,greenschist,,2.6,278-1,1.0±0.2,-38.9
Hayes 1983,,Australia,Ventersdorp Supergroup,chert,greenschist,,2.6,279-1,0.5+0.1,-35
Hayes 1983,,Australia,Ventersdorp Supergroup,chert,greenschist,,2.6,293-1,7.1±1.3,-39.6
Hayes 1983,,Australia,Ventersdorp Supergroup,granite,greenschist,,2.6,271-1,0.06+_0.03,-27.2
Hayes 1983,,Australia,Ventersdorp Supergroup,volcanics,greenschist,,2.6,275-1,0.07±0.03,-15.5
Hayes 1983,,Australia,Ventersdorp Supergroup,carbonate chert,greenschist,,2.6,272-1,0.9±0.2,-42.4
Hayes 1983,,Australia,Ventersdorp Supergroup,carbonate chert,greenschist,,2.6,274-1,0.6±0.1,-41.8
Hayes 1983,,Australia,Ventersdorp Supergroup,carbonate chert,greenschist,,2.6,286-1,0.9±0.2,-36.7
Hayes 1983,,Australia,Ventersdorp Supergroup,carbonate chert,greenschist,,2.6,291-1,1.0±0.2,-37
Hayes 1983,,Australia,Ventersdorp Supergroup,carbonate chert,greenschist,,2.6,292-1,1.6±0.3,-37.2
Hayes 1983,,Australia,Ventersdorp Supergroup,carbonate chert,greenschist,,2.6,292-2,4.2±0.8,-39.8
Hayes 1983,,Australia,Ventersdorp Supergroup,carbonate shale chert,greenschist,,2.6,280-1,2.2±0.4,-41.1
Hayes 1983,,Slave craton,Yellowknife supergroup,carbonate,,,2.6,413-1,0.3±0.1,-15.9
Hayes 1983,,Slave craton,Yellowknife supergroup,carbonate,,,2.6,413-3,0.3±0.1,-15.6
Hayes 1983,,Zimbabwe,Bulayan Group,carbonate,greenschist,,2.6,253-1,1.0±0.2,-17.2
Hayes 1983,,Zimbabwe,Bulayan Group,carbonate,greenschist,,2.6,254-1,1.0±0.2,-30.6
Hayes 1983,,Zimbabwe,Bulayan Group,carbonate,greenschist,,2.6,255-1,1.8±0.3,-33.1
Hayes 1983,,Zimbabwe,Manjeri Fm,chert,upper greenschist,,2.6,218-1,0.13±0.05,-28.7
Hayes 1983,,Zimbabwe,Manjeri Fm,chert,upper greenschist,,2.6,219-1,0.12±0.05,-29.4
Hayes 1983,,Zimbabwe,Manjeri Fm,chert,upper greenschist,,2.6,221-1,0.08±0.04,-13
Hayes 1983,,Zimbabwe,Manjeri Fm,chert,upper greenschist,,2.6,224-1,0.6±0.1,-8.8
Hayes 1983,,Zimbabwe,Manjeri Fm,chert,upper greenschist,,2.6,225-1,0.6±0.1,-32.3
Hayes 1983,,Zimbabwe,Manjeri Fm,chert,upper greenschist,,2.6,226-1,1.2±0.2,-8.2
Hayes 1983,,Zimbabwe,Manjeri Fm,chert,upper greenschist,,2.6,227-1,2.5+_0.5,-29.6
Hayes 1983,,Zimbabwe,Manjeri Fm,chert,upper greenschist,,2.6,228-1,0.9±0.2,-12.5
Hayes 1983,,Zimbabwe,Manjeri Fm,shale chert,upper greenschist,,2.6,223-1,1.0±0.2,-27.1
Hayes 1983,,Ontario,Keewatin Iron Fm,chert,,,2.7,330-1,18±3,-27.1
Hayes 1983,,Ontario,Michipicoten Iron Fm,chert,,,2.7,331-1,19±3,-16.1
Hayes 1983,,Austrailia,Lewin Shale,shale,,,2.8,441-1,38+_7,-43.1
Hayes 1983,,Australia,Fortescue Group,carbonate,,,2.8,029-1,0.2+_0.1,-45.8
Hayes 1983,,Australia,Fortescue Group,chert,,,2.8,027-1,0.7+_0.1,-49.9
Hayes 1983,,Australia,Fortescue Group,chert,,,2.8,036-1,0.4±0.1,-33
Hayes 1983,,Australia,Fortescue Group,shale,sub greenschist,,2.8,038-1,40±7,-41.2
Hayes 1983,,Australia,Fortescue Group,shale,,,2.8,039-1,68-1,-41.3
Hayes 1983,,Australia,Fortescue Group,shale,,,2.8,040-1,73±13,-41.4
Hayes 1983,,Australia,Fortescue Group,shale,,,2.8,132-2,165±30,-40.5
Hayes 1983,,Australia,Fortescue Group,shale,,,2.8,375-1,31±6,-42
Hayes 1983,,Australia,Fortescue Group,shale,,,2.8,376-1,40±7,-42.4
Hayes 1983,,Australia,Fortescue Group,shale,,,2.8,377-1,12±2,-38.4
Hayes 1983,,Australia,Fortescue Group,granite,,,2.8,035-1,<0.05,-3.7
Hayes 1983,,Australia,Fortescue Group,carbonate chert,,,2.8,024-1,0.08+_0.04,-45.4
Hayes 1983,,Australia,Fortescue Group,carbonate chert,,,2.8,025-1,0.5±0.1,-50.3
Hayes 1983,,Australia,Fortescue Group,carbonate chert,,,2.8,026-1,0.8±0.1,-50.6
Hayes 1983,,Australia,Fortescue Group,carbonate chert,,,2.8,028-1,1.8±0.3,-51.7
Hayes 1983,,Australia,Fortescue Group,carbonate chert,,,2.8,030-1,0.7+_0.1,-51.6
Hayes 1983,,Australia,Fortescue Group,carbonate chert,,,2.8,031-1,0.7±0.1,-51.9
Hayes 1983,,Australia,Fortescue Group,carbonate chert,,,2.8,032-1,0.4±0.1,-47.6
Hayes 1983,,Australia,Fortescue Group,carbonate chert,,,2.8,033-1,0.4±0.1,-46.9
Hayes 1983,,Australia,Fortescue Group,carbonate chert,,,2.8,041-1,0.3±0.12,-44.6
Hayes 1983,,Australia,Fortescue Group,chert shale,,,2.8,037-1,3.9±0.7,-27.9
Hayes 1983,,,Woman Lake Marble,carbonate,,,2.8,516-1,0.9+_0.2,-9.6
Hayes 1983,,,Lower Greenstones,shale,,,3,229-1,1.69±0.05,-24.1
Hayes 1983,,South Africa,Pongola Supergroup,carbonate,,,3,258-1,0.06±0.03,-13.1
Hayes 1983,,South Africa,Pongola Supergroup,carbonate,,,3,261-1,0.5+_0.1,-14
Hayes 1983,,South Africa,Pongola Supergroup,carbonate,,,3,264=1,0.2±0.1,-16.8
Hayes 1983,,South Africa,Pongola Supergroup,carbonate,,,3,265-1,0.12±0.05,-16.6
Hayes 1983,,South Africa,Pongola Supergroup,carbonate,,,3,309-1,0.4+_0.1,-18.3
Hayes 1983,,South Africa,Pongola Supergroup,chert,,,3,269-1,0.2±0.1,-14.4
Hayes 1983,,South Africa,Pongola Supergroup,chert,,,3,270-1,0.2±0.1,-14.4
Hayes 1983,,South Africa,Pongola Supergroup,shale,,,3,257-1,0.3±0.1,-16.3
Hayes 1983,,South Africa,Pongola Supergroup,shale,,,3,260-1,0.3±0.1,-24.4
Hayes 1983,,South Africa,Pongola Supergroup,shale,,,3,266-1,2.7±0.5,-26.6
Hayes 1983,,South Africa,Pongola Supergroup,shale,,,3,267-1,2.6+_0.5,-25.6
Hayes 1983,,South Africa,Pongola Supergroup,volcanics,,,3,256-1,0.13±0.05,-18.4
Hayes 1983,,South Africa,Gorge Creek Group,chert,greenschist,,3.4,023-1,4.8±2.0,-27.6
Hayes 1983,,South Africa,Gorge Creek Group,shale,greenschist,,3.4,022-1,40±7,-30.1
Hayes 1983,,South Africa,Gorge Creek Group,shale,greenschist,,3.4,022-2,43±8,-31.5
Hayes 1983,,South Africa,Gorge Creek Group,shale,greenschist,,3.4,022-3,39+_7,-31.8
Hayes 1983,,South Africa,Gorge Creek Group,shale,greenschist,,3.4,023-2,40±10,-27.9
Hayes 1983,,South Africa,Warrawoona group,chert,greenschist,,3.5,001-1,0.2±0.1,-29.8
Hayes 1983,,South Africa,Warrawoona group,chert,greenschist,,3.5,002-1,0.7±0.1,-34.2
Hayes 1983,,South Africa,Warrawoona group,chert,greenschist,,3.5,002-2,0.5±0.1,-31.2
Hayes 1983,,South Africa,Warrawoona group,chert,greenschist,,3.5,002-3,0.5±0.1,-33.4
Hayes 1983,,South Africa,Warrawoona group,chert,greenschist,,3.5,003-1,0.8±0.1,-37.1
Hayes 1983,,South Africa,Warrawoona group,chert,greenschist,,3.5,004-1,0.5±0.1,-34.9
Hayes 1983,,South Africa,Warrawoona group,chert,greenschist,,3.5,006-1,0.11±0.05,-29.4
Hayes 1983,,South Africa,Warrawoona group,chert,greenschist,,3.5,007-1,0.08±0.04,-25.5
Hayes 1983,,South Africa,Warrawoona group,chert,greenschist,,3.5,008-1,<0.05,-24
Hayes 1983,,South Africa,Warrawoona group,chert,greenschist,,3.5,009-1,0.2±0.1,-29.6
Hayes 1983,,South Africa,Warrawoona group,chert,greenschist,,3.5,010-1,0.8±0.1,-33
Hayes 1983,,South Africa,Warrawoona group,chert,greenschist,,3.5,013-1,1.4±0.2,-36.8
Hayes 1983,,South Africa,Warrawoona group,chert,greenschist,,3.5,016-1,0.9±0.23,-34.7
Hayes 1983,,South Africa,Warrawoona group,volcanics,greenschist,,3.5,015-1,0.6±0.1,-2.8
Hayes 1983,,South Africa,Warrawoona group,volcanics,greenschist,,3.5,018-1,0.13±0.03,-1.3
Hayes 1983,,South Africa,Swaziland sequence,chert,greenschist,,3.5,179-1,15±3,-15.2
Hayes 1983,,South Africa,Swaziland sequence,chert,greenschist,,3.5,182-1,1.9±0.3,-31.3
Hayes 1983,,South Africa,Swaziland sequence,chert,greenschist,,3.5,184-1,3.3±0.6,-34.2
Hayes 1983,,South Africa,Swaziland sequence,chert,greenschist,,3.5,186-1,1.2±0.2,-32.4
Hayes 1983,,South Africa,Swaziland sequence,chert,greenschist,,3.5,18-1,0.5±0.1,-27.1
Hayes 1983,,South Africa,Swaziland sequence,chert,greenschist,,3.5,188-1,0.5+_0.1,-31.5
Hayes 1983,,South Africa,Swaziland sequence,chert,greenschist,,3.5,189-1,2.6±0.5,-28.8
Hayes 1983,,South Africa,Swaziland sequence,chert,greenschist,,3.5,191-1,1.9±0.3,-25.2
Hayes 1983,,South Africa,Swaziland sequence,chert,greenschist,,3.5,192-1,6.0±1.1,-26.3
Hayes 1983,,South Africa,Swaziland sequence,chert,greenschist,,3.5,193-1,1.1±0.2,-37
Hayes 1983,,South Africa,Swaziland sequence,chert,greenschist,,3.5,194-1,0.3±0.1,-24.7
Hayes 1983,,South Africa,Swaziland sequence,chert,greenschist,,3.5,196-1,2.0±0.4,-23.4
Hayes 1983,,South Africa,Swaziland sequence,chert,greenschist,,3.5,197-1,0.8±0.1,-25.7
Hayes 1983,,South Africa,Swaziland sequence,chert,greenschist,,3.5,198-1,1.6±0.3,-32.4
Hayes 1983,,South Africa,Swaziland sequence,chert,greenschist,,3.5,199-1,16±3,-26.7
Hayes 1983,,South Africa,Swaziland sequence,chert,greenschist,,3.5,200-1,1.6±0.3,-30.5
Hayes 1983,,South Africa,Swaziland sequence,chert,greenschist,,3.5,201-1,1.8±0.3,-26.9
Hayes 1983,,South Africa,Swaziland sequence,chert,greenschist,,3.5,204-1,3.4±0.6,-28.8
Hayes 1983,,South Africa,Swaziland sequence,chert,greenschist,,3.5,208-1,4.5±0.8,-26.8
Hayes 1983,,South Africa,Swaziland sequence,chert,greenschist,,3.5,213-1,2.2±0.4,-27.5
Hayes 1983,,South Africa,Swaziland sequence,chert,greenschist,,3.5,215-1,1.4±0.2,-31.5
Hayes 1983,,South Africa,Swaziland sequence,chert,greenschist,,3.5,216-1,7.2±1.3,-26.1
Hayes 1983,,South Africa,Swaziland sequence,shale,greenschist,,3.5,181-1,13±2,-15.2
Hayes 1983,,South Africa,Swaziland sequence,shale,greenschist,,3.5,185-1,2.3±0.4,-26.1
Hayes 1983,,South Africa,Swaziland sequence,shale,greenschist,,3.5,202-1,3.0±0.5,-24.3
Hayes 1983,,South Africa,Swaziland sequence,shale,greenschist,,3.5,203-1,62±11,-32.5
Hayes 1983,,South Africa,Swaziland sequence,shale,greenschist,,3.5,209-1,1±0.2,-31.1
Hayes 1983,,South Africa,Swaziland sequence,shale,greenschist,,3.5,212-1,64±12,-32.8
Hayes 1983,,South Africa,Swaziland sequence,shale,greenschist,,3.5,214-1,14±2,-30.4
Hayes 1983,,South Africa,Swaziland sequence,schist,greenschist,,3.5,195-1,0.2±0.1,-21.3
Hayes 1983,,South Africa,Swaziland sequence,volcanics,greenschist,,3.5,470-1,0.4±-0.1,-12.7
Hayes 1983,,Greenland, Isua subcrustal sequence,BIF,amphibolite,,3.8,465-1,25±4,-9.8
Hayes 1983,,Greenland, Isua subcrustal sequence,BIF,amphibolite,,3.8,492-1,0.06±0.03,-12
Hayes 1983,,Greenland, Isua subcrustal sequence,schist,amphibolite,,3.8,466-1,0.06±0.03,-14.3
Hayes 1983,,Greenland, Isua subcrustal sequence,schist,amphibolite,,3.8,468-1,0.06±0.03,-19.3
Hayes 1983,,Greenland, Isua subcrustal sequence,schist,amphibolite,,3.8,494-1,0.11±0.05,-28.2
Hayes 1983,,Greenland, Isua subcrustal sequence,gneiss,amphibolite,,3.8,164-1,0.7±0.1,-16.6
Hayes 1983,,Greenland, Isua subcrustal sequence,gneiss,amphibolite,,3.8,461-1,22±4,-16.1
Hayes 1983,,Greenland, Isua subcrustal sequence,gneiss,amphibolite,,3.8,462-1,0.10±0.05,-20
Hayes 1983,,Greenland, Isua subcrustal sequence,gneiss,amphibolite,,3.8,464-1,0.09±0.04,-21.6
Hayes 1983,,Greenland, Isua subcrustal sequence,gneiss,amphibolite,,3.8,469-1,0.06+_0.03,-16.6
French  2015,,Australia,Hamersley (Carawine dolomite),shale,sub greenschist,,2.48,2/1/001,0.4,-43.1
French  2015,,Australia,Hamersley (Carawine dolomite),Pyrobituminous stylocumulate,sub greenschist,,2.5,2/1/002,3.2,-32.4
French  2015,,Australia,Hamersley (Carawine dolomite),carbonate sandstone,sub greenschist,,2.52,2/1/003,1.6,-43.2
French  2015,,Australia,Hamersley (Carawine dolomite),carbonate sandstone,sub greenschist,,2.55,2/1/004,1.3,-46.45
French  2015,,Australia,Hamersley (Carawine dolomite),shale sandstone,sub greenschist,,2.57,2/1/005,1.5,-49.8
French  2015,,Australia,Fortescue Group (Jeerinah Fm.),shale,sub greenschist,,2.65,2/1/007,6.7,-48.45
French  2015,,Australia,Fortescue Group (Jeerinah Fm.),shale,sub greenschist,,2.68,2/1/008,5.4,-42.15
French  2015,,Australia,Fortescue Group (Jeerinah Fm.),shale,sub greenschist,,2.7,2/1/010,5.8,-43.6
French  2015,,Australia,Fortescue Group (Jeerinah Fm.),shale,sub greenschist,,2.71,2/1/011,4.2,-44
French  2015,,Australia,Fortescue Group (Jeerinah Fm.),shale,sub greenschist,,2.71,2/1/012,3.7,-43.85
French  2015,,Australia,Fortescue Group (Jeerinah Fm.),shale,sub greenschist,,2.58,3/1/004,2.8,-41.85
French  2015,,Australia,Fortescue Group (Jeerinah Fm.),shale,sub greenschist,,2.61,3/1/005,3.4,-41.65
Schopf and Klein 1992,Oehl 721246,,Gunflint Iron Fm,chert,,,2.09,n/a,,-37.2
Schopf and Klein 1992,Oehl 721246,,Gunflint Iron Fm,chert,,,2.09,n/a,,-34.1
Schopf and Klein 1992,Barg77,,Gunflint Iron Fm,chert,,,2.09,n/a,,-25
Schopf and Klein 1992,Barg77,,Gunflint Iron Fm,chert,,,2.09,n/a,,-29.1
Schopf and Klein 1992,Hoer67,,Gunflint Iron Fm,chert,,,2.09,n/a,,-29.2
Schopf and Klein 1992,Barg77,,Gunflint Iron Fm,chert,,,2.09,n/a,,-28.2
Schopf and Klein 1992,Barg77,,Gunflint Iron Fm,chert,,,2.09,n/a,,-37
Schopf and Klein 1992,Barg77,,Gunflint Iron Fm,chert,,,2.09,n/a,,-39.2
Schopf and Klein 1992,Barg77,,Gunflint Iron Fm,shale,,,2.09,n/a,,-34
Schopf and Klein 1992,Barg77,,Gunflint Iron Fm,chert,,,2.09,n/a,,-19.6
Schopf and Klein 1992,Barg77,,Gunflint Iron Fm,chert,,,2.09,n/a,,-15.7
Schopf and Klein 1992,Barg77,,Gunflint Iron Fm,shale,,,2.09,n/a,,-20.1
Schopf and Klein 1992,Hoer62,,Gunflint Iron Fm,chert,,,2.09,n/a,,-30.7
Schopf and Klein 1992,Smit70,,Gunflint Iron Fm,chert,,,2.09,n/a,,-33.1
Schopf and Klein 1992,Jack78,,Gunflint Iron Fm,chert,,,2.09,n/a,,-15.6
Schopf and Klein 1992,eich75,,Manitounuk Group,carbonate,,,2.1,n/a,,-18
Schopf and Klein 1992,Schid76,,Tabooes Fm,shale,,,2.1,n/a,,-29.5
Schopf and Klein 1992,Schid76,,Tabooes Fm,shale,,,2.1,n/a,,-27.6
Schopf and Klein 1992,Schid76,,Tabooes Fm,shale,,,2.1,n/a,,-27.6
Schopf and Klein 1992,Schid76,,Tabooes Fm,shale,,,2.1,n/a,,-28.5
Schopf and Klein 1992,Hayes83,,Upper Albanel Fm,carbonate,,,2.1,n/a,2.9,-31.4
Schopf and Klein 1992,Schid76,,Fecho de Funil Fm,shale,,,2.15,n/a,,-23.5
Schopf and Klein 1992,Schid76,,Gandarella Fm,shale,,,2.2,n/a,,-21.4
Schopf and Klein 1992,Schid76,,Gandarella Fm,shale,,,2.2,n/a,,-22.5
Schopf and Klein 1992,Schid76,,Gandarella Fm,shale,,,2.2,n/a,,-22.5
Schopf and Klein 1992,Schid76,,Gandarella Fm,shale,,,2.2,n/a,,-22.9
Schopf and Klein 1992,Jack78,,Gowganda Fm,shale,,,2.25,n/a,,-27.4
Schopf and Klein 1992,Leve75706,,Gowganda Fm,shale,,,2.25,n/a,,-19.5
Schopf and Klein 1992,Eich75,,Timeball Hill Fm,carbonate,,,2.25,n/a,,-19.4
Schopf and Klein 1992,Schid76,,Caue Itabirito Fm,shale,,,2.3,n/a,,-26
Schopf and Klein 1992,Schid76,,Caue Itabirito Fm,shale,,,2.3,n/a,,-24.2
Schopf and Klein 1992,Schid76,,Caue Itabirito Fm,shale,,,2.3,n/a,,-20.3
Schopf and Klein 1992,Schid76,,Caue Itabirito Fm,shale,,,2.3,n/a,,-25.1
Schopf and Klein 1992,Schid76,,Caue Itabirito Fm,shale,,,2.3,n/a,,-25.4
Schopf and Klein 1992,Schid76,,Caue Itabirito Fm,shale,,,2.3,n/a,,-21.4
Schopf and Klein 1992,Oehl 721246,,Transvaal Supergroup,chert,,,2.3,n/a,,-28
Schopf and Klein 1992,Eich75,,Transvaal Supergroup,carbonate,,,2.3,n/a,,-18.5
Schopf and Klein 1992,eich75,,Transvaal Supergroup,carbonate,,,2.3,n/a,,-24.8
Schopf and Klein 1992,eich75,,Transvaal Supergroup,carbonate,,,2.3,n/a,,-23.2
Schopf and Klein 1992,eich75,,Transvaal Supergroup,carbonate,,,2.3,n/a,,-27
Schopf and Klein 1992,eich75,,Transvaal Supergroup,carbonate,,,2.3,n/a,,-26.7
Schopf and Klein 1992,eich75,,Transvaal Supergroup,carbonate,,,2.3,n/a,,-27.4
Schopf and Klein 1992,eich75,,Transvaal Supergroup,carbonate,,,2.3,n/a,,-31.3
Schopf and Klein 1992,eich75,,Transvaal Supergroup,carbonate,,,2.3,n/a,,-27
Schopf and Klein 1992,eich75,,Transvaal Supergroup,carbonate,,,2.3,n/a,,-39.9
Schopf and Klein 1992,eich75,,Transvaal Supergroup,carbonate,,,2.3,n/a,,-29.5
Schopf and Klein 1992,eich75,,Transvaal Supergroup,carbonate,,,2.3,n/a,,-31.5
Schopf and Klein 1992,eich75,,Transvaal Supergroup,carbonate,,,2.3,n/a,,-21.1
Schopf and Klein 1992,eich75,,Transvaal Supergroup,carbonate,,,2.3,n/a,,-25.4
Schopf and Klein 1992,eich75,,Transvaal Supergroup,shale,,,2.3,n/a,,-25.7
Schopf and Klein 1992,eich75,,Transvaal Supergroup,shale,,,2.3,n/a,,-24.5
Schopf and Klein 1992,Hoer67,,Transvaal Supergroup,carbonate,,,2.3,n/a,,-37.1
Schopf and Klein 1992,Hoer62,,Transvaal Supergroup,carbonate,,,2.3,n/a,,-28.9
